Base Price;;Name;Supplier;Image URL
26.55;;Od zera do frontend developera. Kurs video. Tworzenie stron w oparciu o HTML5 i CSS3;Michał Segieta;https://static01.helion.com.pl/global/okladki/145x218/vtwsin.png
58.05;;Programowanie z GO. Kurs video. Podstawy języka;Tomasz Kaniecki;https://static01.helion.com.pl/global/okladki/145x218/vjezgo.png
58.05;;React Redux. Kurs video. Praktyczny przewodnik;Paweł Zagrobelny;https://static01.helion.com.pl/global/okladki/145x218/vredux.png
44.50;;Frontend Developer. Kurs video. Testowanie kodu w JavaScript;Radosław Madecki;https://static01.helion.com.pl/global/okladki/145x218/vfrdev.png
89.55;;Amazon Web Services (AWS). Kurs video. Zostań administratorem systemów IT;Piotr Kośka;https://static01.helion.com.pl/global/okladki/145x218/vawses.png
44.55;;Ubuntu 20.04. Kurs video. Zostań administratorem systemów IT;Piotr Kośka;https://static01.helion.com.pl/global/okladki/145x218/vubun2.png
31.05;;ASP .NET Core. Kurs video. Rozwijanie dodatkowych funkcjonalności Web API;Jakub Kozera;https://static01.helion.com.pl/global/okladki/145x218/vaspnc.png
17.95;; T-SQL. Kurs video. Wykorzystanie baz danych przy użyciu niekonwencjonalnych rozwiązań. Sztuczki i gotowe rozwiązania;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vtsqls.png
199.00;;Blockchain. Kurs video. Smart kontrakty i aplikacje zdecentralizowane w praktyce;Sylwester Wieczorkowski;https://static01.helion.com.pl/global/okladki/145x218/vblock.png
15.96;;Excel - szybkie przetwarzanie danych. Sztuczki i gotowe rozwiązania. Kurs video;Daniel Brzózka;https://static01.helion.com.pl/global/okladki/145x218/vextr2.png
27.60;;Excel 2016 i programowanie VBA. Kurs video. Poziom drugi. Zaawansowane techniki tworzenia makr;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/ve16v2.png
29.50;;Python. Kurs video. Wzorce czynnościowe i architektoniczne oraz antywzorce;Karol Kurek;https://static01.helion.com.pl/global/okladki/145x218/vwzpro.png
58.05;;Poradnik hakera. Kurs video. Inżynieria odwrotna plików binarnych;Marcin Gomulak;https://static01.helion.com.pl/global/okladki/145x218/vporha.png
31.05;;Blender 2.71. Kurs video. Poziom pierwszy. Modelowanie w 3D, animacja i renderowanie;Marcin Strzempkowski;https://static01.helion.com.pl/global/okladki/145x218/blendp.png
31.05;;GIMP 2.10. Kurs video. Obróbka fotografii i tworzenie grafik;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/vgi210.png
31.60;;Excel 2019. Kurs video. Postaw pierwsze kroki!;Daniel Brzózka;https://static01.helion.com.pl/global/okladki/145x218/vex19p.png
76.05;;React Native. Kurs video. Zostań programistą aplikacji mobilnych;Sebastian Mysakowski;https://static01.helion.com.pl/global/okladki/145x218/vuczgl.png
44.55;;Angielski dla specjalistów IT. Kurs video. Level up;Anna Lewoc;https://static01.helion.com.pl/global/okladki/145x218/vanit2.png
59.50;;Angular 10. Kurs video. Budowa aplikacji od podstaw;Rafał Słuja;https://static01.helion.com.pl/global/okladki/145x218/vlara6.png
17.95;;Ćwiczenia na bóle kręgosłupa i inne przypadłości osób przywiązanych do biurka. Kurs wideo;Anna Brzegowa;https://static01.helion.com.pl/global/okladki/145x218/vzescw.png
31.05;;Wzorce projektowe dla programistów C#. Kurs video;Jacek Matulewski;https://static01.helion.com.pl/global/okladki/145x218/vwzprp.png
134.55;;Java Full Stack Developer. Kurs video. Tworzenie aplikacji internetowych od podstaw;Marcin Berendt;https://static01.helion.com.pl/global/okladki/145x218/vjavfu.png
58.05;;Git. Kurs video. Zaawansowane aspekty konfiguracji popularnego systemu kontroli wersji;Tomasz Trębski;https://static01.helion.com.pl/global/okladki/145x218/vkogiz.png
53.55;;React.js i Node.js. Kurs video. Budowanie serwisu w oparciu o popularne biblioteki języka JavaScript;Jakub Kukuryk;https://static01.helion.com.pl/global/okladki/145x218/vnodre.png
26.55;;Język UML. Kurs video. Poziom pierwszy. Modelowanie systemów informatycznych;Marcin Albiniak;https://static01.helion.com.pl/global/okladki/145x218/vumlkv.png
34.50;;Adobe Illustrator. Kurs video. Poziom pierwszy. Projektowanie grafiki wektorowej;Marcin Strzempkowski;https://static01.helion.com.pl/global/okladki/145x218/illusp.png
15.60;;PHP. Kurs video. Poziom pierwszy. Programowanie obiektowe w praktyce;Krzysztof Wołowski;https://static01.helion.com.pl/global/okladki/145x218/vphpp1.png
49.50;;Jak zdać maturę z matematyki? Kurs video. Kompleksowe przygotowanie do matury. Poziom podstawowy;Denis Aleksa;https://static01.helion.com.pl/global/okladki/145x218/vkmama.png
39.50;;Matematyka a programowanie. Kurs video. Od pojęcia liczby po płaszczyznę zespoloną w Pythonie;Karol Kurek;https://static01.helion.com.pl/global/okladki/145x218/vodmat.png
17.95;;Administracja systemem Linux. Kurs video. Przewodnik dla początkujących;Adrian Kubala;https://static01.helion.com.pl/global/okladki/145x218/vadlin.png
26.55;;JavaScript. Kurs video. Programowanie funkcyjne i reaktywne;Paweł Choniawko;https://static01.helion.com.pl/global/okladki/145x218/vpfrjs.png
26.55;;Analiza danych w środowisku R. Kurs video. Poziom pierwszy. Manipulacja, modelowanie i wizualizacja danych w praktyce;Alicja Wolny-Dominiak;https://static01.helion.com.pl/global/okladki/145x218/vnozar.png
58.05;;Amazon Web Services. Kurs video. Tworzenie aplikacji;Dawid Borycki;https://static01.helion.com.pl/global/okladki/145x218/vamweb.png
31.05;;Twoja pierwsza gra 3D w Unity 2020. Kurs video. Od prototypu do gry Tower Defence;Arkadiusz Brzegowy;https://static01.helion.com.pl/global/okladki/145x218/vtpg3d.png
35.55;;Django REST framework. Kurs video. Praktyczne wprowadzenie do projektowania interfejsów REST API;Sebastian Opałczyński;https://static01.helion.com.pl/global/okladki/145x218/djrefr.png
44.55;;Bash. Kurs video. Zostań administratorem systemów IT;Piotr Kośka;https://static01.helion.com.pl/global/okladki/145x218/vbashv.png
31.05;;Programowanie w C#. Poziom drugi. Kurs video. Zaawansowane techniki;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vproc2.png
31.60;;PHP. Kurs video. Tworzenie własnego środowiska na podstawie wzorca MVC;Kamil Kozaczyński;https://static01.helion.com.pl/global/okladki/145x218/vphpsr.png
35.55;;T-SQL. Kurs video. Programowanie baz danych w SQL Server;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vtsqlp.png
53.55;;Java dla średnio zaawansowanych. Kurs video. Tworzenie profesjonalnych projektów;Jakub Zagórski;https://static01.helion.com.pl/global/okladki/145x218/vjavsz.png
26.55;;Spring Security. Kurs video. Metody zabezpieczania aplikacji webowych;Adam Zaręba;https://static01.helion.com.pl/global/okladki/145x218/vspsec.png
134.55;;ArchiCAD. Kurs video. Poziom pierwszy. Projektowanie domu jednorodzinnego ;Rafał Ślęk;https://static01.helion.com.pl/global/okladki/145x218/vaca18.png
34.50;;JUnit - testy jednostkowe. Kurs video. Automatyzacja procesu testowania w Javie;Zofia Matusiewicz;https://static01.helion.com.pl/global/okladki/145x218/vjunte.png
26.55;;Podstawy programowania. Kurs video. Bazy danych;Piotr Wrotny;https://static01.helion.com.pl/global/okladki/145x218/vppbda.png
22.05;;Język XML. Kurs video. Poziom pierwszy. Tworzenie struktury dokumentów XML;Marcin Albiniak;https://static01.helion.com.pl/global/okladki/145x218/vxmlv1.png
24.50;;HTML5. Kurs video. Poziom pierwszy. Programowanie dla początkujących webmasterów;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/html1v.png
31.05;;Linux Server. Kurs video. Usługi serwerowe, skrypty i środowisko graficzne;Adam Raźniewski;https://static01.helion.com.pl/global/okladki/145x218/vlinse.png
31.05;;Django. Kurs video. Tworzenie interaktywnych stron internetowych i aplikacji webowych;Roman Kierzkowski;https://static01.helion.com.pl/global/okladki/145x218/vdjapp.png
44.55;;Język C# w praktyce. Kurs video. Przetwarzanie danych zewnętrznych;Mariusz Postół;https://static01.helion.com.pl/global/okladki/145x218/vjcprv.png
44.55;;Niemiecki dla specjalistów IT. Kurs video. Poziom pierwszy. Komunikacja w codziennej pracy;Rafał Tondera;https://static01.helion.com.pl/global/okladki/145x218/vnieit.png
35.55;;Testowanie oprogramowania w .NET Core 2.0. Kurs video. Poziom pierwszy. Jak pisać dobry, niezawodny i łatwy w utrzymaniu kod;Marcin Szyszka;https://static01.helion.com.pl/global/okladki/145x218/vwdtnp.png
22.05;;Unity dla dzieci. Stwórz własną grę 2D. Kurs video;Arkadiusz Brzegowy;https://static01.helion.com.pl/global/okladki/145x218/vunid2.png
67.05;;Vim. Kurs video. Zostań administratorem systemów IT;Piotr Kośka;https://static01.helion.com.pl/global/okladki/145x218/vvimv.png
71.60;;Excel VBA. Kurs video. Budowanie procesu automatycznego raportowania;Daniel Brzózka;https://static01.helion.com.pl/global/okladki/145x218/vimpda.png
44.55;;OpenShift. Kurs video. Zostań administratorem systemów IT;Piotr Kośka;https://static01.helion.com.pl/global/okladki/145x218/vopskv.png
26.55;;Język XAML. Kurs video. Poziom pierwszy. Programowanie aplikacji w WPF;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vjxam1.png
26.55;;JavaScript. Kurs video. Poziom drugi. Zaawansowane techniki pisania skryptów;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/vjavsc.png
35.55;;Microsoft SQL Server. Tworzenie baz danych i zarządzanie nimi. Kurs video;Marcin Albiniak;https://static01.helion.com.pl/global/okladki/145x218/vsqlse.png
58.05;;Nowoczesny JavaScript. Kurs video. Nowości od ES6 do ES2020;Piotr Jasiun;https://static01.helion.com.pl/global/okladki/145x218/vkecma.png
24.50;;HTML 5. Kurs video. Poziom drugi. Tworzenie profesjonalnych stron WWW;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/vhtml5.png
22.05;;Unity dla dzieci. Zabawa w programowanie gier. Kurs video. Poziom pierwszy;Arkadiusz Brzegowy;https://static01.helion.com.pl/global/okladki/145x218/vunidz.png
17.55;;Światło w fotografii. Warsztaty ze Scottem Kelby. Kurs video;Scott Kelby;https://static01.helion.com.pl/global/okladki/145x218/vsfwar.png
26.55;;PL/SQL. Kurs video. Od podstaw do zagadnień zaawansowanych. Programowanie baz danych;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vplsql.png
44.55;;C++. Kurs video. Poziom pierwszy. Składnia, podstawowe elementy języka, programowanie proceduralne;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/vcppsk.png
29.50;;Access 2013. Kurs video. Kwerendy baz danych;Kamil Józwik;https://static01.helion.com.pl/global/okladki/145x218/acckwe.png
35.55;;Adobe InDesign CC. Kurs video. Poziom pierwszy. Praca z grafiką i tekstem;Paweł Zakrzewski;https://static01.helion.com.pl/global/okladki/145x218/adoind.png
31.05;;Android Studio. Kurs video. Programowanie aplikacji na urządzenia mobilne;Paweł Gajda;https://static01.helion.com.pl/global/okladki/145x218/andstu.png
44.55;;Arduino. Kurs video. Poziom pierwszy. Podstawowe techniki dla własnych projektów elektronicznych;Paweł Matyszok;https://static01.helion.com.pl/global/okladki/145x218/arduin.png
22.05;;Java. Kurs video. Poziom pierwszy. Podstawy tworzenia aplikacji;Paweł Pluta;https://static01.helion.com.pl/global/okladki/145x218/vjava1.png
58.05;;Ansible. Kurs video. Automatyzacja w IT od podstaw;Piotr Kośka;https://static01.helion.com.pl/global/okladki/145x218/vansib.png
