Base Price,Price Tax Included,Name,Supplier,Image URL,Url
31.05,1,Poradnik hakera. Kurs video. Inżynieria odwrotna i modyfikacja programów komputerowych,Marcin Gomulak,https://static01.helion.com.pl/global/okladki/145x218/vpohak.png,"https://helion.pl/ksiazki/poradnik-hakera-kurs-video-inzynieria-odwrotna-i-modyfikacja-programow-komputerowych-marcin-gomulak,vpohak.htm#format/w"
34.50,1,Python. Kurs video. Poziom pierwszy. Podstawy programowania i tworzenia aplikacji,Joanna Zatorska,https://static01.helion.com.pl/global/okladki/145x218/vpytho.png,"https://helion.pl/ksiazki/python-kurs-video-poziom-pierwszy-podstawy-programowania-i-tworzenia-aplikacji-joanna-zatorska,vpytho.htm#format/w"
112.05,1,Twórz gry w Pythonie. Kurs video. Poznaj bibliotekę PyGame,Karol Kurek,https://static01.helion.com.pl/global/okladki/145x218/vpigry.png,"https://helion.pl/ksiazki/tworz-gry-w-pythonie-kurs-video-poznaj-biblioteke-pygame-karol-kurek,vpigry.htm#format/w"
49.50,1,Python 3. Kurs video. Kompendium efektywnego Pythonisty,Bartosz Zaczyński,https://static01.helion.com.pl/global/okladki/145x218/vpytpz.png,"https://helion.pl/ksiazki/python-3-kurs-video-kompendium-efektywnego-pythonisty-bartosz-zaczynski,vpytpz.htm#format/w"
34.50,1,Testy automatyczne kodu Python. Kurs video. Pisanie testów jednostkowych od podstaw,Jakub Wasielak,https://static01.helion.com.pl/global/okladki/145x218/vteskp.png,"https://helion.pl/ksiazki/testy-automatyczne-kodu-python-kurs-video-pisanie-testow-jednostkowych-od-podstaw-jakub-wasielak,vteskp.htm#format/w"
26.55,1,MySQL. Kurs video. Od podstaw do zagadnień zaawansowanych. Tworzenie i analizowanie baz danych,Przemysław Starosta,https://static01.helion.com.pl/global/okladki/145x218/vmysql.png,"https://helion.pl/ksiazki/mysql-kurs-video-od-podstaw-do-zagadnien-zaawansowanych-tworzenie-i-analizowanie-baz-danych-przemyslaw-starosta,vmysql.htm#format/w"
22.05,1,JavaScript. Kurs video. Poziom pierwszy. Programowanie interaktywnych stron internetowych,Jarosław Baca,https://static01.helion.com.pl/global/okladki/145x218/javscp.png,"https://helion.pl/ksiazki/javascript-kurs-video-poziom-pierwszy-programowanie-interaktywnych-stron-internetowych-jaroslaw-baca,javscp.htm#format/w"
26.55,1,"WordPress. Kurs video. Poziom pierwszy. Tworzenie, administracja i modyfikacja własnej witryny i bloga",Wojciech Bielak,https://static01.helion.com.pl/global/okladki/145x218/vwopre.png,"https://helion.pl/ksiazki/wordpress-kurs-video-poziom-pierwszy-tworzenie-administracja-i-modyfikacja-wlasnej-witryny-i-blog-wojciech-bielak,vwopre.htm#format/w"
35.55,1,MikroTik na start. Kurs video. Podstawy konfiguracji routera,Jacek Mielnik,https://static01.helion.com.pl/global/okladki/145x218/vmikst.png,"https://helion.pl/ksiazki/mikrotik-na-start-kurs-video-podstawy-konfiguracji-routera-jacek-mielnik,vmikst.htm#format/w"
15.60,1,PHP. Kurs video. Poziom drugi. Programowanie obiektowe w praktyce,Krzysztof Wołowski,https://static01.helion.com.pl/global/okladki/145x218/vphpp2.png,"https://helion.pl/ksiazki/php-kurs-video-poziom-drugi-programowanie-obiektowe-w-praktyce-krzysztof-wolowski,vphpp2.htm#format/w"
29.50,1,SQL. Kurs video. Od podstaw do zagadnień zaawansowanych. Tworzenie baz danych,Przemysław Starosta,https://static01.helion.com.pl/global/okladki/145x218/vsqlod.png,"https://helion.pl/ksiazki/sql-kurs-video-od-podstaw-do-zagadnien-zaawansowanych-tworzenie-baz-danych-przemyslaw-starosta,vsqlod.htm#format/w"
40.05,1,Microsoft Windows Server 2019. Kurs video. Nowoczesne administrowanie siecią,Jacek Mielnik,https://static01.helion.com.pl/global/okladki/145x218/vws19z.png,"https://helion.pl/ksiazki/microsoft-windows-server-2019-kurs-video-nowoczesne-administrowanie-siecia-jacek-mielnik,vws19z.htm#format/w"
24.50,1,SQL. Kurs video. Projektowanie i implementacja baz danych,Krzysztof Piaskowy,https://static01.helion.com.pl/global/okladki/145x218/vtwbzd.png,"https://helion.pl/ksiazki/sql-kurs-video-projektowanie-i-implementacja-baz-danych-krzysztof-piaskowy,vtwbzd.htm#format/w"
35.55,1,Python. Kurs video. Kreacyjne i strukturalne wzorce projektowe,Karol Kurek,https://static01.helion.com.pl/global/okladki/145x218/vwzpyt.png,"https://helion.pl/ksiazki/python-kurs-video-kreacyjne-i-strukturalne-wzorce-projektowe-karol-kurek,vwzpyt.htm#format/w"
64.50,1,Angular 11. Kurs video. Poznaj moc tworzenia aplikacji typu SPA,Rafał Słuja,https://static01.helion.com.pl/global/okladki/145x218/vangta.png,"https://helion.pl/ksiazki/angular-11-kurs-video-poznaj-moc-tworzenia-aplikacji-typu-spa-rafal-sluja,vangta.htm#format/w"
74.50,1,Google Cloud. Kurs video. Zostań administratorem systemów IT,Piotr Tenyszyn,https://static01.helion.com.pl/global/okladki/145x218/vgoclo.png,"https://helion.pl/ksiazki/google-cloud-kurs-video-zostan-administratorem-systemow-it-piotr-tenyszyn,vgoclo.htm#format/w"
34.50,1,Programowanie asynchroniczne i równoległe w C#. Kurs video. Poziom podstawowy,Jarosław Porwoł,https://static01.helion.com.pl/global/okladki/145x218/vasynp.png,"https://helion.pl/ksiazki/programowanie-asynchroniczne-i-rownolegle-w-c-kurs-video-poziom-podstawowy-jaroslaw-porwol,vasynp.htm#format/w"
26.55,1,Zostań programistą. Kurs video. Fundamentalne zasady i koncepcje programistyczne,Przemysław Starosta,https://static01.helion.com.pl/global/okladki/145x218/vzopro.png,"https://helion.pl/ksiazki/zostan-programista-kurs-video-fundamentalne-zasady-i-koncepcje-programistyczne-przemyslaw-starosta,vzopro.htm#format/w"
19.95,1,ASP.NET Core. Kurs video. Tworzenie REST Web API,Jakub Kozera,https://static01.helion.com.pl/global/okladki/145x218/vtwres.png,"https://helion.pl/ksiazki/asp-net-core-kurs-video-tworzenie-rest-web-api-jakub-kozera,vtwres.htm#format/w"
34.50,1,Wyrażenia regularne w Pythonie. Kurs video. Kompletne vademecum,Karol Kurek,https://static01.helion.com.pl/global/okladki/145x218/vwyrep.png,"https://helion.pl/ksiazki/wyrazenia-regularne-w-pythonie-kurs-video-kompletne-vademecum-karol-kurek,vwyrep.htm#format/w"
44.55,1,Python. Kurs video. Programowanie asynchroniczne,Karol Kurek,https://static01.helion.com.pl/global/okladki/145x218/vprasp.png,"https://helion.pl/ksiazki/python-kurs-video-programowanie-asynchroniczne-karol-kurek,vprasp.htm#format/w"
59.50,1,Docker. Kurs video. Zostań administratorem systemów IT,Piotr Tenyszyn,https://static01.helion.com.pl/global/okladki/145x218/vdockv.png,"https://helion.pl/ksiazki/docker-kurs-video-zostan-administratorem-systemow-it-piotr-tenyszyn,vdockv.htm#format/w"
35.55,1,Język C. Kurs video. Praktyczne wprowadzenie do programowania,Adam Bobowski,https://static01.helion.com.pl/global/okladki/145x218/vprojc.png,"https://helion.pl/ksiazki/jezyk-c-kurs-video-praktyczne-wprowadzenie-do-programowania-adam-bobowski,vprojc.htm#format/w"
59.50,1,C#. Kurs video. Zacznij programować obiektowo!,Marcin Szeliga,https://static01.helion.com.pl/global/okladki/145x218/vtprob.png,"https://helion.pl/ksiazki/c-kurs-video-zacznij-programowac-obiektowo-marcin-szeliga,vtprob.htm#format/w"
89.55,1,Bezpieczeństwo w ASP.NET Core. Kurs video. Podstawy kryptografii,Bartosz Szmit,https://static01.helion.com.pl/global/okladki/145x218/vbezpi.png,"https://helion.pl/ksiazki/bezpieczenstwo-w-asp-net-core-kurs-video-podstawy-kryptografii-bartosz-szmit,vbezpi.htm#format/w"
24.50,1,Keras w praktyce. Kurs video. Tworzenie modeli uczenia głębokiego,Radosław Słowiński,https://static01.helion.com.pl/global/okladki/145x218/vwdeel.png,"https://helion.pl/ksiazki/keras-w-praktyce-kurs-video-tworzenie-modeli-uczenia-glebokiego-radoslaw-slowinski,vwdeel.htm#format/w"
